Tram,Descripció,Coordenades
521,Ronda del Litoral (Miramar a Pl. dels Voluntaris),"2.196050927353133,41.38780759085961,2.192844832335961,41.38542373148859,2.192015378384098,41.38491955015388,2.191469920462907,41.38467435317121,2.190736083945954,41.38434400624282,2.189483621164967,41.38375974756804,2.186632151150318,41.38246377910699,2.185460712848037,41.3818377593722,2.184384253584151,41.38144517149146,2.183256273934386,41.38106740476545"
522,Ronda del Litoral (Pl. dels Voluntaris a Miramar),"2.183377232700869,41.38093644062881,2.185295700718897,41.38166097170959,2.1906444283769,41.38415831691506,2.192181262882795,41.38490482558828,2.194183289731417,41.38621562311337,2.19623591935473,41.38778158248891"
523,Ronda del Litoral (Pl. dels Voluntaris a Bac de Roda),"2.196233908666054,41.38779033212941,2.203044166507235,41.39291911113124,2.206258164220105,41.39529038617901,2.207878192966277,41.39674168219652,2.209118564903598,41.39867794857638,2.20949886649118,41.3992914584964,2.21059401888565,41.40027499922232,2.212271793221972,41.40150257641308"
524,Ronda del Litoral (Bac de Roda a Pl. dels Voluntaris),"2.212092011995446,41.40166617539131,2.210214553783969,41.40016149288562,2.209523080876037,41.39945026920367,2.209072379757291,41.39891970402204,2.208386093857022,41.39770339866829,2.207793607705362,41.39686462195564,2.206395787022339,41.39556327058137,2.202921161218041,41.3929497919842,2.199858330180289,41.39060379604051,2.196092071099582,41.38782369488074"
525,Ronda del Litoral (Bac de Roda a Rambla de Prim),"2.212304380323948,41.40152549611,2.215569162059965,41.40395225279062,2.218961356891795,41.40647280738057,2.220399040301417,41.40779455577486,2.221212664457786,41.40885190898539,2.22161994990993,41.40982861201048"
526,Ronda del Litoral (Rambla de Prim a Bac de Roda),"2.22137891826153,41.41009708737582,2.2210220443592,41.40915624299204,2.220424470443849,41.40824018981123,2.219016194909003,41.40681940205285,2.215541958353278,41.40421698293226,2.21209043420167,41.40168938819015"
527,Ronda del Litoral (Rambla de Prim a Gran Via),"2.221689772896842,41.40995621567469,2.222983947817991,41.4118395952875,2.223746957073329,41.41320455254147,2.225002358794788,41.41442293370334,2.225446358317276,41.41547192677115,2.225637226452972,41.4167556736315,2.225630764605795,41.41782424993707,2.225194515784188,41.41891615468066,2.224475137302404,41.41981069261433,2.223783908103625,41.42040780746562,2.222692403566431,41.42100489019391,2.221397384844353,41.42152523402043,2.220598222837762,41.42209278987305,2.219800871723867,41.42248594776885,2.218937795947,41.42312376348805,2.21811291310261,41.42381774294979,2.215736095718501,41.42619410763115"
528,Ronda del Litoral (Gran Via a Rambla de Prim),"2.215491057891872,41.42605848959602,2.217589425491451,41.42393257152075,2.218890307104342,41.42289150207034,2.219624579261859,41.42233204828421,2.220569556709731,41.42168762913224,2.221606409693242,41.42117623181142,2.222934502136502,41.42052258603101,2.223688191632116,41.42000642499509,2.224121567919233,41.41964532331031,2.224432981132609,41.41921497781826,2.22490586504114,41.41851143275525,2.225077369646478,41.41799667690596,2.225264677549166,41.41641659273717,2.225113668133134,41.4159224019345,2.224690373506324,41.41490611317495,2.22358711170195,41.41365553392629,2.222902707921821,41.41279573245497,2.222169352639221,41.41150914508135,2.221688614535216,41.41051359150219,2.221380772845776,41.41004587778699"
529,Ronda Litoral (Estació de Can Tunis a Passeig de la Zona Franca),"2.156643067097748,41.35238639168005,2.154964712702145,41.35180665505543,2.15337208969647,41.35139115728762,2.152134425694205,41.35109269493973,2.149276602438224,41.35013597567917,2.146944897086645,41.34942621316796"
530,Ronda Litoral (Passeig de la Zona Franca a Estació de Can Tunis),"2.14689, 41.34946, 2.14681, 41.34943, 2.14622, 41.34918, 2.14569, 41.34896, 2.14538, 41.34883, 2.14497, 41.34866, 2.14428, 41.34838, 2.1434, 41.34801, 2.14302, 41.34786, 2.14269, 41.34773, 2.14194, 41.34742, 2.14142, 41.34721, 2.14054, 41.34686, 2.14008, 41.34668, 2.13965, 41.34651, 2.13856, 41.34612, 2.1378400000000006, 41.34587, 2.13673, 41.345490000000005, 2.13582, 41.34517, 2.1349, 41.34486, 2.13397, 41.34454, 2.13305, 41.34422, 2.13214, 41.34392, 2.13122, 41.3436, 2.13032, 41.34329, 2.12959, 41.34304, 2.12886, 41.34279, 2.12667, 41.34204, 2.12586, 41.34176, 2.12362, 41.341, 2.12213, 41.34049, 2.12161, 41.34032, 2.12121, 41.34020000000001, 2.12066, 41.34006, 2.12045, 41.34001, 2.12007, 41.33993, 2.11966, 41.33986, 2.1196, 41.33985"
531,Ronda Litoral (Gran Via a Potosí),"2.206259340928256,41.44361502134825,2.207574317862437,41.44180870653005,2.207806386347007,41.44121908417116,2.208575566135409,41.4392030577352,2.2094636835491,41.43609237344564,2.209618676924274,41.43548494122192,2.210093989881588,41.43426954035474,2.210880637609445,41.43288964166898,2.212726183847038,41.43030632010267,2.213595298240871,41.42903053315987,2.215709717956487,41.4262504211037"
532,Ronda Litoral (Potosí a Gran Via),"2.206062333803802,41.44356616311283,2.20747237074443,41.44122398548389,2.208184255185686,41.43923857020138,2.209057532066874,41.43608574542263,2.209395685653126,41.43519293166307,2.210390516295631,41.43319667622144,2.211204510638141,41.43196096963227,2.212600868681494,41.42994868917656,2.21409580013652,41.42797581216544,2.215517826524343,41.42607238270198"
533,Ronda Litoral (Potosí a Nus de la Trinitat),"2.206243003622748,41.44362108033077,2.202207845512858,41.44800242160748,2.200946279630378,41.44880310845697,2.200525920751772,41.44898172655498,2.198092778756648,41.44953475875568,2.196914106846795,41.44997285951013"
534,Ronda Litoral (Nus de la Trinitat a Potosí),"2.206062333803802,41.44356616311283,2.201961946861377,41.44804289389951,2.200663088952131,41.44881362403847,2.197777924171125,41.44949306786887,2.196633557528038,41.44990657344401"
