,Commerce,Catering,Health,Recreational Activities,Transport,Hotel,Real State
455,10083,27062,11017,1689,27894,2822,0
456,10094,27105,11056,1700,28077,2827,0
457,10110,27251,11101,1709,28292,2832,0
458,10123,27298,11176,1720,28510,2836,0
459,10143,27343,11221,1730,28683,2840,0
460,10157,27377,11256,1740,28825,2844,0
461,10175,27419,11295,1750,28959,2848,0
462,10192,27454,11332,1760,29105,2852,0
463,10211,27505,11365,1770,29227,2856,0
464,10235,27537,11410,1780,29339,2860,0
465,10265,27591,11439,1790,29451,2864,0
466,10288,27644,11476,1800,29570,2868,0
467,10312,27678,11516,1810,29695,2872,0
468,10330,27716,11548,1820,29826,2876,0
469,10353,27756,11577,1830,29943,2880,0
470,10372,27810,11599,1840,30056,2884,0
471,10394,27866,11634,1850,30163,2888,0
472,10417,27910,11661,1860,30284,2892,0
473,10436,27957,11699,1870,30401,2895,0
474,10459,28013,11731,1880,30509,2899,0
475,10483,28078,11771,1890,30626,2904,0
476,10505,28128,11814,1900,30752,2908,0
477,10528,28199,11854,1910,30876,2911,0
478,10549,28254,11887,1920,30991,2916,0
479,10570,28293,11919,1930,31096,2919,0
480,10596,28334,11947,1940,31231,2922,0
481,10612,28387,11978,1940,31316,2922,0
482,10626,28430,12010,1940,31363,2922,0
483,10637,28479,12045,1940,31384,2922,0
484,10647,28522,12080,1940,31401,2922,0
485,10655,28572,12105,1940,31412,2922,0
486,10670,28637,12129,1940,31416,2922,0
487,10679,28688,12168,1940,31416,2922,0
488,10691,28740,12190,1940,31416,2922,0
489,10705,28814,12224,1940,31416,2922,0
490,10715,28874,12244,1940,31416,2922,0
491,10725,28941,12275,1940,31416,2922,0
492,10735,28995,12313,1940,31417,2922,0
493,10749,29048,12350,1940,31418,2922,0
494,10757,29123,12383,1940,31419,2922,0
495,10769,29196,12416,1940,31420,2922,0
496,10782,29257,12447,1940,31421,2922,0
497,10796,29340,12477,1940,31421,2922,0
498,10810,29424,12508,1940,31421,2922,0
499,10823,29491,12541,1940,31423,2922,0
500,10836,29565,12571,1940,31423,2922,0
501,10854,29651,12608,1940,31423,2922,0
502,10870,29728,12637,1940,31423,2922,0
503,10887,29819,12672,1940,31423,2922,0
504,10900,29892,12698,1940,31423,2922,0
505,10916,29966,12723,1940,31423,2922,0
506,10930,30053,12747,1940,31423,2922,0
507,10938,30126,12776,1940,31423,2922,0
508,10947,30217,12804,1940,31423,2922,0
509,10959,30277,12840,1942,31428,2923,0
510,10975,30342,12870,1944,31441,2924,0
511,10991,30411,12897,1946,31470,2925,0
512,11008,30462,12927,1948,31498,2926,0
513,11023,30501,12951,1954,31527,2928,0
514,11044,30558,12969,1960,31561,2930,0
515,11060,30606,13001,1965,31601,2932,0
516,11069,30650,13030,1972,31645,2934,0
517,11079,30690,13052,1981,31678,2936,0
518,11101,30726,13074,1990,31710,2938,0
519,11116,30763,13099,1999,31751,2940,0
520,11131,30806,13123,2008,31802,2942,0
521,11143,30842,13138,2018,31847,2945,0
522,11152,30872,13152,2028,31894,2948,0
523,11168,30907,13172,2038,31938,2951,0
524,11183,30934,13193,2048,31981,2954,0
525,11202,30969,13208,2058,31993,2957,0
526,11218,31006,13229,2068,32005,2960,0
527,11235,31036,13242,2077,32022,2963,0
528,11246,31071,13260,2088,32039,2966,0
529,11261,31107,13283,2098,32050,2969,0
530,11273,31142,13303,2108,32066,2972,0
531,11286,31177,13328,2118,32083,2975,0
532,11299,31206,13341,2128,32101,2978,0
533,11316,31236,13367,2137,32114,2981,0
534,11330,31269,13384,2148,32126,2984,0
535,11346,31315,13395,2158,32136,2987,0
536,11355,31353,13414,2167,32150,2990,0
537,11368,31399,13433,2178,32163,2993,0
538,11384,31438,13447,2188,32174,2996,0
539,11402,31477,13464,2197,32187,2999,0
540,11414,31521,13492,2208,32202,3002,0
541,11428,31659,13594,2216,32265,3004,0
542,11444,31712,13645,2224,32322,3006,0
543,11456,31757,13661,2232,32368,3008,0
544,11467,31799,13668,2239,32420,3010,0
545,11480,31936,13769,2244,32511,3011,0
546,11494,31994,13824,2247,32607,3012,0
547,11506,32054,13845,2252,32718,3013,0
