,Food,Health,Amusement,Basic Goods,Funds
476,-6.1416,55.446,-111.4296,-565.1014,5561.7964
477,-5.9274,55.264,-111.3842,-565.71,5619.0258
478,-6.0838,54.914,-111.3326,-566.7076,5676.2884
479,-5.933,54.498,-111.2794,-567.35,5733.2804
480,-5.2952,54.318,-111.2596,-568.4256,5790.16
481,-5.2502,54.09,-111.7574,-568.9866,5788.474
482,-5.659,53.646,-112.2564,-571.2444,5787.1524
483,-6.1966,53.232,-112.7508,-573.3602,5786.1364
484,-6.3896,52.62,-113.2542,-575.6282,5785.331
485,-6.3186,52.052,-113.7366,-577.9886,5784.4654
486,-6.3394,51.598,-114.2314,-580.0616,5783.5168
487,-6.7036,51.026,-114.7258,-582.207,5782.8006
488,-7.2988,50.504,-115.2308,-584.3364,5782.1534
489,-7.02,49.944,-115.7264,-586.5016,5781.282
490,-7.0014,49.572,-116.2196,-588.5236,5780.4614
491,-6.9838,49.116,-116.7306,-590.8942,5779.5534
492,-7.2028,48.718,-117.2338,-593.0896,5778.5478
493,-7.4674,48.242,-117.73,-595.406,5777.7408
494,-7.338,47.66,-118.2266,-597.6938,5776.8882
495,-7.3028,47.116,-118.7226,-600.0272,5776.0996
496,-7.4322,46.602,-119.2252,-602.3052,5775.1328
497,-7.5064,45.896,-119.7296,-604.674,5774.1586
498,-7.4612,45.3,-120.236,-606.9034,5773.1384
499,-7.1852,44.794,-120.7212,-609.1746,5771.9846
500,-6.7876,44.186,-121.2232,-611.3242,5770.8482
501,-7.0102,43.598,-121.7282,-613.6644,5769.9198
502,-6.7096,43.01,-122.2284,-615.8924,5768.9046
503,-6.546,42.602,-122.7234,-618.204,5767.829
504,-6.4792,42.002,-123.2224,-620.4354,5766.8372
505,-6.252,41.566,-123.7248,-622.661,5765.718
506,-6.4632,41.082,-124.2226,-624.774,5764.6534
507,-6.3744,40.512,-124.7158,-626.777,5763.5318
508,-6.4796,39.972,-125.2084,-629.0292,5762.4884
509,-6.6812,39.382,-125.5934,-631.0394,5761.4634
510,-6.8826,38.748,-125.9594,-632.6644,5760.273
